ID,Título,Precio,Precio Original,Condición,Cantidad disponible,Marca,Envío gratuito
MLA1403817687,Celular Teléfono Celular Tcl 408 (6+64) Gravity Gray Rva,179490,249999,new,250,No disponible,False
MLA1424066709,Celular Motorola Moto G51 5g 4gb Ram 128gb Ips 120hz Color Dorado,349999,,new,1,No disponible,False
MLA1367675807, Moto G41 128 Gb  Negro Onix 4 Gb Ram,475000,,new,1,No disponible,False
MLA1282331347,Celular Philco P510 32gb 5'' Negro 1gb Ram Dual Sim 4g,61999,99999,new,50,No disponible,False
MLA1557157736,Doogee S99 Dual Sim 128 Gb  Black 8 Gb Ram,660000,,new,1,No disponible,False
MLA1420588162,Cat S42 Dual Sim 32 Gb  Negro 3 Gb Ram,449990,,new,1,No disponible,False
MLA1382891321,Celular Basico Whatsapp Ipro 3g S401 Redes Maps Libre Smart,59998,,new,1,No disponible,False
MLA1365592402,Samsung Galaxy A03 Core 32gb Octa-core 2gb Ram,175730,,new,1,No disponible,False
MLA1659959898,Nokia 6300 4g - Charcoal - 4 Gb - 512 Mb,79990,,new,1,No disponible,False
MLA1423533567,Samsung Galaxy S23 Fe 256gb 8gb Ram Verde,999999,,new,1,No disponible,False
MLA1447794460,Xiaomi Redmi Note 12 Pro+ 5g Dual Sim 256 Gb  Iceberg Blue 8 Gb Ram,690126,,new,1,No disponible,False
MLA1391472783,Apple iPhone 15 (256 Gb) - Negro,1366999,,new,1,No disponible,False
MLA1753361312, Moto G72 128 Gb  Blanco Brillante 6 Gb Ram,421999,,new,1,No disponible,False
MLA1143838382,Celular Samsung Galaxy A13 Negro 128gb Color Black,426330,,new,1,No disponible,False
MLA1432746748,Xiaomi Mi 11t Pro Dual Sim 256 Gb  Gris Meteorito 8 Gb Ram,749859,,new,100,No disponible,False
MLA1368140977,Multilaser Flip Vita Lite Dual Sim 32 Mb  Negro 32 Mb Ram,54898,,new,1,No disponible,False
MLA1375342543,Telefono Celular Tcl 30 Se Atlantic Blue Rva Color Azul,225600,309999,new,1,No disponible,False
MLA1439951610,Samsung Galaxy S20 Fe 128 Gb  Cloud Navy 6 Gb Ram,377607,429099,new,1,No disponible,False
MLA1627622644,Realme C55 Dual Sim 256 Gb  Sunshower 8 Gb Ram,308350,,new,1,No disponible,False
